Course code,Study Period,Academic Year,Teacher Id,Hours,Course Instance
1204,1.0,2013-2014,19620522-0023,240.0,I-1
1204,1.0,2013-2014,19790708-0041,100.0,I-1
1204,1.0,2013-2014,19930221-0139,140.0,I-1
1082,3.0,2013-2014,19690408-0009,280.0,I-2
1082,3.0,2013-2014,19750220-0037,100.0,I-2
1082,3.0,2013-2014,19921201-0094,100.0,I-2
1190,4.0,2013-2014,19570826-0012,240.0,I-3
1190,4.0,2013-2014,19790702-0038,140.0,I-3
1009,3.0,2013-2014,19690513-0015,240.0,I-4
1009,3.0,2013-2014,19750705-0033,140.0,I-4
1264,4.0,2013-2014,19610623-0005,260.0,I-5
1264,4.0,2013-2014,19780424-0057,140.0,I-5
1264,4.0,2013-2014,19920206-0072,100.0,I-5
1161,2.0,2013-2014,19640220-0029,240.0,I-6
1161,2.0,2013-2014,19790618-0048,120.0,I-6
1161,2.0,2013-2014,19910927-0128,140.0,I-6
1076,4.0,2013-2014,19630126-0001,240.0,I-7
1076,4.0,2013-2014,19790702-0038,140.0,I-7
1076,4.0,2013-2014,19910214-0084,120.0,I-7
1055,3.0,2013-2014,19620831-0024,240.0,I-8
1055,3.0,2013-2014,19760108-0050,100.0,I-8
1055,3.0,2013-2014,19931231-0099,100.0,I-8
1048,3.0,2013-2014,19570826-0012,260.0,I-9
1048,3.0,2013-2014,19760524-0046,120.0,I-9
1007,4.0,2013-2014,19600814-0002,240.0,I-10
1007,4.0,2013-2014,19780424-0057,100.0,I-10
1007,4.0,2013-2014,19911116-0069,140.0,I-10
1124,1.0,2014-2015,19620522-0023,260.0,I-11
1124,1.0,2014-2015,19750220-0037,140.0,I-11
1124,1.0,2014-2015,19930709-0100,140.0,I-11
1019,1.0,2014-2015,19640220-0029,280.0,I-12
1019,1.0,2014-2015,19790708-0041,100.0,I-12
1193,1.0,2014-2015,19570615-0011,240.0,I-13
1193,1.0,2014-2015,19771013-0040,140.0,I-13
1108,4.0,2014-2015,19620831-0024,260.0,I-14
1108,4.0,2014-2015,19750417-0051,120.0,I-14
1063,3.0,2014-2015,19590129-0004,260.0,I-15
1063,3.0,2014-2015,19750906-0032,120.0,I-15
1050,3.0,2014-2015,19620831-0024,240.0,I-16
1050,3.0,2014-2015,19780317-0052,100.0,I-16
1256,3.0,2014-2015,19610620-0006,240.0,I-17
1256,3.0,2014-2015,19790717-0045,140.0,I-17
1240,4.0,2014-2015,19590129-0004,260.0,I-18
1240,4.0,2014-2015,19781130-0054,120.0,I-18
1240,4.0,2014-2015,19920206-0072,140.0,I-18
1159,3.0,2014-2015,19561222-0030,240.0,I-19
1159,3.0,2014-2015,19780602-0035,100.0,I-19
1159,3.0,2014-2015,19900211-0140,120.0,I-19
1107,3.0,2014-2015,19640414-0013,280.0,I-20
1107,3.0,2014-2015,19781217-0053,140.0,I-20
1107,3.0,2014-2015,19900902-0114,140.0,I-20
1068,3.0,2014-2015,19620424-0026,280.0,I-21
1068,3.0,2014-2015,19780317-0052,100.0,I-21
1068,3.0,2014-2015,19931231-0099,140.0,I-21
1048,1.0,2014-2015,19601021-0018,260.0,I-22
